hosts,numtransactions,DKG_wall_avg,WriteKey_wall_avg,RecoveryKeyBatch_wall_avg
8,1,0.546786,0.443411,0.031509
8,2,0.527042,0.532548,0.044027
8,4,0.538459,0.605107,0.042011
8,8,0.453585,0.735779,0.074264
8,16,0.498245,1.163187,0.097484
8,32,0.507382,1.837099,0.191694
8,64,0.486796,4.586619,0.28069
8,128,0.532155,7.809313,0.469653
8,256,0.457177,15.030504,0.891509
8,512,0.482183,54.880793,1.497931
16,1,0.994108,0.497158,0.067849
16,2,0.936461,0.67879,0.07805
16,4,0.977606,0.831625,0.074092
16,8,1.019212,0.965841,0.113124
16,16,1.013572,1.176093,0.192427
16,32,0.994292,2.336057,0.266921
16,64,0.954078,5.767067,0.466075
16,128,0.895906,12.315375,0.786197
16,256,0.957465,19.619126,1.382532
16,512,0.915967,62.058269,2.441569
32,1,3.015046,0.67965,0.155056
32,2,2.963848,0.926161,0.19386
32,4,3.008118,1.065349,0.248291
32,8,2.839582,1.485733,0.249898
32,16,2.855495,2.209454,0.351122
32,32,2.665375,5.600855,0.53253
32,64,2.875984,12.370357,0.954306
32,128,3.044833,17.048431,1.554291
32,256,2.965138,51.447943,2.734481
32,512,3.073967,112.58378,5.106984
64,1,15.79628,1.30098,0.481967
64,2,15.552621,1.467539,0.590252
64,4,15.463782,2.628114,0.56929
64,8,15.501571,3.792378,0.619726
64,16,15.389254,6.699216,0.774872
64,32,15.780293,12.715746,1.13905
64,64,15.2789,28.680865,1.848332
64,128,15.327452,57.780143,3.366143
64,256,15.755464,115.194297,6.38055
64,512,15.526728,265.545318,12.728825
128,1,144.534196,2.651439,1.773245
128,2,144.427883,5.547876,2.107998
128,4,144.921565,7.795246,2.016785
128,8,144.454729,11.193519,2.040258
128,16,143.799677,22.083344,2.2956
128,32,144.495685,45.403068,3.222737
128,64,144.239272,86.059452,5.05211
128,128,144.636923,176.239779,9.694278
128,256,143.967448,340.472113,19.312122
128,512,143.547662,662.511251,38.585127
